point ewma,point Taux FAIL,limite Construction,point loi norm sup,point loi norm inf,Dates,Date_comments,the_comments,Arcs
-0.0786131790421086,-0.14,2.0,0.7864316037447602,-0.15409493707809385,2019-11-21,,,2
-0.0908905432336869,4.116,2.0,0.8156003422946293,-0.18326367562796297,2019-11-22,,,3
0.7504875654130504,0.009999999999999995,2.0,0.8334057990533233,-0.20106913238665702,2019-11-25,,,4
0.6023900523304404,-0.14,2.0,0.8444864620595808,-0.21214979539291445,2019-11-26,,,5
0.4539120418643523,0.69,2.0,0.8514577248090827,-0.21912105814241634,2019-11-28,,,6
0.5011296334914819,0.52,2.0,0.8558720785652054,-0.2235354118985391,2019-11-29,,,7
0.5049037067931855,0.86,2.0,0.8586784149091891,-0.22634174824252273,2019-12-06,,,8
0.5759229654345485,0.71,2.0,0.8604668768254928,-0.2281302101588265,2019-12-09,,,9
0.6027383723476388,0.84,2.0,0.861608414903145,-0.22927174823647867,2019-12-10,,,10
0.6501906978781111,0.69,2.0,0.8623377471505193,-0.23000108048385293,2019-12-11,,,11
0.658152558302489,0.99,2.0,0.8628040091116208,-0.23046734244495448,2019-12-12,,,12
0.7245220466419913,0.53,2.0,0.8631022081645218,-0.23076554149785544,2019-12-13,,,13
0.685617637313593,0.85,2.0,0.8632929702640721,-0.23095630359740582,2019-12-16,,,14
0.7184941098508745,0.77,2.0,0.863415023110241,-0.23107835644357466,2019-12-18,,,15
0.7287952878806996,0.535,2.0,0.8634931226479637,-0.23115645598129742,2019-12-19,,,16
0.6900362303045596,0.51,2.0,0.8635431005041252,-0.23120643383745887,2019-12-20,,,17
0.6540289842436477,0.83,2.0,0.8635750839374357,-0.23123841727076933,2019-12-23,,,18
0.6892231873949183,0.97,2.0,0.8635955523540962,-0.23125888568742992,2019-12-26,,,19
0.7453785499159347,1.29,2.0,0.8636086517391297,-0.23127198507246338,2019-12-30,,,20
0.8543028399327478,0.71,2.0,0.8636170351810563,-0.23128036851438993,2019-12-31,,,21
0.8254422719461983,0.89,2.0,0.8636224005165154,-0.23128573384984907,2020-01-02,,,22
0.8383538175569588,0.64,2.0,0.863625834303614,-0.23128916763694762,2020-01-03,,,23
0.798683054045567,0.74,2.0,0.863628031916054,-0.23129136524938765,2020-01-04,,,24
0.7869464432364537,1.1300000000000001,2.0,0.8636294383833861,-0.2312927717167198,2020-01-06,,,25
0.8555571545891629,0.4,2.0,0.8636303385205825,-0.23129367185391614,2020-01-07,,,26
0.7644457236713305,0.7,2.0,0.8636309146076113,-0.231294247940945,2020-01-08,,,27
0.7515565789370644,0.37,2.0,0.8636312833029918,-0.23129461663632545,2020-01-09,,,28
0.6752452631496515,0.72,2.0,0.8636315192679048,-0.2312948526012385,2020-01-10,,,29
0.6841962105197212,0.57,2.0,0.8636316702853959,-0.23129500361872957,2020-01-13,,,30
0.661356968415777,0.91,2.0,0.8636317669365683,-0.23129510026990197,2020-01-14,,,31
0.7110855747326217,0.54,2.0,0.8636318287933096,-0.23129516212664325,2020-01-15,,,32
0.6768684597860973,0.22,2.0,0.8636318683816204,-0.2312952017149541,2020-01-16,,,33
0.5854947678288779,0.25,2.0,0.8636318937181379,-0.23129522705147154,2020-01-17,,,34
0.5183958142631023,0.93,2.0,0.8636319099335085,-0.23129524326684214,2020-01-20,,,35
0.6007166514104819,0.83,2.0,0.8636319203113453,-0.23129525364467896,2020-01-21,,,36
0.6465733211283856,0.69,2.0,0.8636319269531608,-0.2312952602864945,2020-01-22,,,37
0.6552586569027086,0.7633333333333333,2.0,0.8636319312039227,-0.23129526453725635,2020-01-23,,,38
0.6768735921888336,0.58,2.0,0.8636319339244102,-0.23129526725774385,2020-01-24,,,39
0.6574988737510669,0.52,2.0,0.8636319356655223,-0.231295268998856,2020-01-25,,,40
0.6299990990008535,0.06,2.0,0.8636319367798341,-0.23129527011316775,2020-01-27,,,41
0.5159992792006828,0.23,2.0,0.8636319374929935,-0.23129527082632717,2020-01-28,,,42
0.45879942336054624,0.43,2.0,0.8636319379494156,-0.2312952712827493,2020-01-29,,,43
0.45303953868843705,0.4,2.0,0.8636319382415257,-0.2312952715748594,2020-01-30,,,44
0.44243163095074967,0.35,2.0,0.8636319384284762,-0.23129527176180986,2020-01-31,,,45
